<TICKER>,<SECTOR>,<INDUSTRY>
ALT.US,Healthcare,Biotechnology
NBSE.US,Healthcare,Biotechnology
NMM.US,Industrials,Marine Shipping
TAP.US,Consumer Defensive,Beverages—Brewers
XNCR.US,Healthcare,Biotechnology
CYBR.US,Technology,Software—Infrastructure
EJH.US,Consumer Cyclical,Personal Services
PXD.US,Energy,Oil & Gas E&P
XIN.US,Real Estate,Real Estate—Development
NOVT.US,Technology,Scientific & Technical Instruments
TCRR.US,Healthcare,Biotechnology
VRE.US,Real Estate,REIT—Residential
NRXPW.US,Healthcare,Biotechnology
RELI.US,Financial Services,Insurance Brokers
CAG.US,Consumer Defensive,Packaged Foods
CODI_A.US,NA,NA
SNV_E.US,NA,NA
ITOS.US,Healthcare,Biotechnology
BAP.US,Financial Services,Banks—Regional
MX.US,Technology,Semiconductors
UFPT.US,Healthcare,Medical Devices
NVTA.US,Healthcare,Diagnostics & Research
SBSW.US,Basic Materials,Gold
MEG.US,Industrials,Waste Management
IVA.US,Healthcare,Biotechnology
BRC.US,Industrials,Security & Protection Services
OWL.US,Financial Services,Asset Management
GLG.US,Basic Materials,Other Industrial Metals & Mining
VNO_L.US,NA,NA
F_B.US,NA,NA
AGRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
FFBC.US,Financial Services,Banks—Regional
PTON.US,Consumer Cyclical,Leisure
IEP.US,Energy,Oil & Gas Refining & Marketing
CCB.US,Financial Services,Banks—Regional
BPYPN.US,Real Estate,Real Estate Services
USX.US,Industrials,Trucking
NAUT.US,Healthcare,Biotechnology
COHU.US,Technology,Semiconductor Equipment & Materials
VVV.US,Energy,Oil & Gas Refining & Marketing
AAM_A.US,NA,NA
AMRK.US,Financial Services,Capital Markets
CNP.US,Utilities,Utilities—Regulated Electric
RMR.US,Real Estate,Real Estate Services
POST.US,Consumer Defensive,Packaged Foods
RF_C.US,NA,NA
GO.US,Consumer Defensive,Grocery Stores
DAN.US,Consumer Cyclical,Auto Parts
TBIO.US,Healthcare,Medical Devices
CRM.US,Technology,Software—Application
FWBI.US,Healthcare,Biotechnology
IDA.US,Utilities,Utilities—Regulated Electric
FUTU.US,Financial Services,Capital Markets
PRAX.US,Healthcare,Biotechnology
EIGR.US,Healthcare,Biotechnology
GPCR.US,Healthcare,Biotechnology
IPG.US,Communication Services,Advertising Agencies
CDLX.US,Communication Services,Advertising Agencies
SD.US,Energy,Oil & Gas E&P
QTWO.US,Technology,Software—Application
VEON.US,Communication Services,Telecom Services
ABCL.US,Healthcare,Biotechnology
MNTK.US,Utilities,Utilities—Diversified
RBC.US,Industrials,Tools & Accessories
CHKEZ.US,NA,NA
CNMD.US,Healthcare,Medical Devices
CFG.US,Financial Services,Banks—Regional
CAR.US,Industrials,Rental & Leasing Services
AUB.US,Financial Services,Banks—Regional
FRC.US,Financial Services,Banks—Regional
NNDM.US,Technology,Computer Hardware
OAK_B.US,NA,NA
SCE_H.US,NA,NA
NOW.US,Technology,Software—Application
CC.US,Basic Materials,Specialty Chemicals
NVR.US,Consumer Cyclical,Residential Construction
EPC.US,Consumer Defensive,Household & Personal Products
ONTX.US,Healthcare,Biotechnology
RAD.US,Healthcare,Pharmaceutical Retailers
IONQ.US,Technology,Computer Hardware
TRN.US,Industrials,Railroads
BHF.US,Financial Services,Insurance—Life
DVN.US,Energy,Oil & Gas E&P
PETZ.US,Consumer Defensive,Packaged Foods
OLN.US,Basic Materials,Specialty Chemicals
TGS.US,Energy,Oil & Gas Integrated
WDAY.US,Technology,Software—Application
WSBC.US,Financial Services,Banks—Regional
EVH.US,Healthcare,Health Information Services
PRFT.US,Technology,Information Technology Services
WHLRP.US,Real Estate,REIT—Retail
NTG.US,Financial Services,Asset Management
AXON.US,Industrials,Aerospace & Defense
BIO.US,Healthcare,Medical Devices
HCI.US,Financial Services,Insurance—Property & Casualty
ORCL.US,Technology,Software—Infrastructure
BTTX.US,Healthcare,Biotechnology
EQBK.US,Financial Services,Banks—Regional
MGEE.US,Utilities,Utilities—Regulated Electric
LEV.US,Industrials,Farm & Heavy Construction Machinery
BCOW.US,Financial Services,Banks—Regional
CENN.US,Consumer Cyclical,Auto Manufacturers
PT.US,Financial Services,Credit Services
PCVX.US,Healthcare,Biotechnology
UNB.US,Financial Services,Banks—Regional
BWFG.US,Financial Services,Banks—Regional
NX.US,Industrials,Building Products & Equipment
FLR.US,Industrials,Engineering & Construction
TENB.US,Technology,Software—Infrastructure
HAPP.US,Consumer Defensive,Packaged Foods
HEI-A.US,Industrials,Aerospace & Defense
MG.US,Industrials,Security & Protection Services
GLOP_C.US,NA,NA
XFOR.US,Healthcare,Biotechnology
CALT.US,Healthcare,Biotechnology
CEQP.US,Energy,Oil & Gas Midstream
XOMA.US,Healthcare,Biotechnology
MGI.US,Financial Services,Credit Services
GECC.US,Financial Services,Asset Management
AUID.US,Technology,Software—Infrastructure
FNKO.US,Consumer Cyclical,Leisure
ICAD.US,Healthcare,Medical Devices
OBT.US,Financial Services,Banks—Regional
FSBC.US,Financial Services,Banks—Regional
DOMO.US,Technology,Software—Application
DOX.US,Technology,Software—Infrastructure
EQR.US,Real Estate,REIT—Residential
HALL.US,Financial Services,Insurance—Property & Casualty
DOOR.US,Industrials,Building Products & Equipment
HUT.US,Financial Services,Capital Markets
NLTX.US,Healthcare,Drug Manufacturers—Specialty & Generic
NSIT.US,Technology,Electronics & Computer Distribution
OXLCP.US,Financial Services,Asset Management
EDR.US,Communication Services,Entertainment
MANU.US,Communication Services,Entertainment
NIO.US,Consumer Cyclical,Auto Manufacturers
BIRD.US,Consumer Cyclical,Apparel Retail
ADCT.US,Healthcare,Biotechnology
GVA.US,Industrials,Engineering & Construction
ACCD.US,Healthcare,Health Information Services
EFOI.US,Consumer Cyclical,Furnishings Fixtures & Appliances
VS.US,Technology,Software—Application
MSB.US,Basic Materials,Steel
GRCL.US,Healthcare,Biotechnology
QGEN.US,Healthcare,Diagnostics & Research
CDR_C.US,NA,NA
ICVX.US,Healthcare,Biotechnology
BEP.US,Utilities,Utilities—Renewable
SOHU.US,Communication Services,Electronic Gaming & Multimedia
TSHA.US,Healthcare,Biotechnology
HHC.US,Real Estate,Real Estate—Diversified
ACHR.US,Industrials,Aerospace & Defense
PSTG.US,Technology,Computer Hardware
ZLAB.US,Healthcare,Biotechnology
GRPH.US,Healthcare,Biotechnology
KN.US,Technology,Communication Equipment
MNRO.US,Consumer Cyclical,Auto Parts
UPS.US,Industrials,Integrated Freight & Logistics
ORLY.US,Consumer Cyclical,Specialty Retail
NUVA.US,Healthcare,Medical Devices
TCOM.US,Consumer Cyclical,Travel Services
ATHX.US,Healthcare,Biotechnology
PB.US,Financial Services,Banks—Regional
RGR.US,Industrials,Aerospace & Defense
KSCP.US,Industrials,Security & Protection Services
PHI.US,Communication Services,Telecom Services
OCN.US,Financial Services,Mortgage Finance
PHUN.US,Technology,Software—Application
LAW.US,Technology,Software—Application
PINC.US,Healthcare,Health Information Services
TIL.US,Healthcare,Biotechnology
AGNCP.US,Real Estate,REIT—Mortgage
HXL.US,Industrials,Aerospace & Defense
VRPX.US,Healthcare,Biotechnology
ACM.US,Industrials,Engineering & Construction
AAON.US,Industrials,Building Products & Equipment
INST.US,Technology,Software—Application
VMEO.US,Technology,Software—Application
MAIN.US,Financial Services,Asset Management
MITK.US,Technology,Software—Application
NHTC.US,Consumer Cyclical,Internet Retail
WOOF.US,Consumer Cyclical,Specialty Retail
MPB.US,Financial Services,Banks—Regional
OBSV.US,Healthcare,Biotechnology
MAXN.US,Technology,Solar
COIN.US,Financial Services,Financial Data & Stock Exchanges
AR.US,Energy,Oil & Gas E&P
WPP.US,Communication Services,Advertising Agencies
TBLT.US,Industrials,Tools & Accessories
FTHM.US,Real Estate,Real Estate Services
FBL.US,NA,NA
TSM.US,Technology,Semiconductors
ACRS.US,Healthcare,Diagnostics & Research
IMCC.US,Healthcare,Drug Manufacturers—Specialty & Generic
JBLU.US,Industrials,Airlines
FLYU.US,NA,NA
FMX.US,Consumer Defensive,Beverages—Brewers
DHI.US,Consumer Cyclical,Residential Construction
OSIS.US,Technology,Electronic Components
HIG.US,Financial Services,Insurance—Diversified
AGX.US,Industrials,Engineering & Construction
FITBO.US,Financial Services,Banks—Regional
UBS.US,Financial Services,Banks—Diversified
JBGS.US,Real Estate,REIT—Office
AMSWA.US,Technology,Software—Application
FOSLL.US,NA,NA
CYCC.US,Healthcare,Biotechnology
CIR.US,Industrials,Specialty Industrial Machinery
CHKEW.US,NA,NA
CALM.US,Consumer Defensive,Farm Products
MVST.US,Industrials,Electrical Equipment & Parts
TLS.US,Technology,Software—Infrastructure
LNC.US,Financial Services,Insurance—Life
SNDL.US,Healthcare,Drug Manufacturers—Specialty & Generic
TOMZ.US,Industrials,Pollution & Treatment Controls
VICR.US,Technology,Electronic Components
SRCL.US,Industrials,Waste Management
CHUY.US,Consumer Cyclical,Restaurants
HLVX.US,Healthcare,Biotechnology
ZWS.US,Industrials,Pollution & Treatment Controls
GENE.US,Healthcare,Diagnostics & Research
ISUN.US,Technology,Solar
TRUE.US,Communication Services,Internet Content & Information
FCBC.US,Financial Services,Banks—Regional
AGNCM.US,Real Estate,REIT—Mortgage
FIVN.US,Technology,Software—Infrastructure
MATV.US,Basic Materials,Specialty Chemicals
PCTY.US,Technology,Software—Application
DEO.US,Consumer Defensive,Beverages—Wineries & Distilleries
KR.US,Consumer Defensive,Grocery Stores
PRPL.US,Consumer Cyclical,Furnishings Fixtures & Appliances
RPTX.US,Healthcare,Biotechnology
SHEN.US,Communication Services,Telecom Services
BSY.US,Technology,Software—Application
FMBH.US,Financial Services,Banks—Regional
BTCM.US,Technology,Information Technology Services
JCI.US,Industrials,Building Products & Equipment
IPGP.US,Technology,Semiconductor Equipment & Materials
URI.US,Industrials,Rental & Leasing Services
AMH.US,Real Estate,REIT—Residential
IQV.US,Healthcare,Diagnostics & Research
AHH_A.US,NA,NA
EFC_A.US,NA,NA
EXPR.US,Consumer Cyclical,Apparel Retail
LMFA.US,Financial Services,Credit Services
PLXP.US,Healthcare,Drug Manufacturers—Specialty & Generic
PRQR.US,Healthcare,Biotechnology
LEGH.US,Consumer Cyclical,Residential Construction
SCHW_J.US,NA,NA
TMO.US,Healthcare,Diagnostics & Research
LOCO.US,Consumer Cyclical,Restaurants
INSG.US,Technology,Communication Equipment
DHHCU.US,Financial Services,Shell Companies
OFG.US,Financial Services,Banks—Regional
LFMD.US,Healthcare,Pharmaceutical Retailers
ORA.US,Utilities,Utilities—Renewable
YORW.US,Utilities,Utilities—Regulated Water
ETN.US,Industrials,Specialty Industrial Machinery
ATO.US,Utilities,Utilities—Regulated Gas
ULH.US,Industrials,Trucking
ERIE.US,Financial Services,Insurance Brokers
LKCO.US,Technology,Software—Application
CORR_A.US,NA,NA
DCI.US,Industrials,Specialty Industrial Machinery
CERE.US,Healthcare,Biotechnology
PARAP.US,Communication Services,Entertainment
AFYA.US,Consumer Defensive,Education & Training Services
THC.US,Healthcare,Medical Care Facilities
PHCF.US,Financial Services,Asset Management
MGM.US,Consumer Cyclical,Resorts & Casinos
GLSI.US,Healthcare,Biotechnology
L.US,Financial Services,Insurance—Property & Casualty
PBF.US,Energy,Oil & Gas Refining & Marketing
TPX.US,Consumer Cyclical,Furnishings Fixtures & Appliances
GL.US,Financial Services,Insurance—Life
PBH.US,Healthcare,Drug Manufacturers—Specialty & Generic
FDX.US,Industrials,Integrated Freight & Logistics
MBUU.US,Consumer Cyclical,Recreational Vehicles
AZUL.US,Industrials,Airlines
FDP.US,Consumer Defensive,Farm Products
CTIC.US,Healthcare,Biotechnology
OPY.US,Financial Services,Capital Markets
TFII.US,Industrials,Trucking
CDNS.US,Technology,Software—Application
LTRPA.US,Communication Services,Internet Content & Information
BLTE.US,Healthcare,Biotechnology
AGM_D.US,NA,NA
CDXS.US,Healthcare,Biotechnology
CDNA.US,Healthcare,Diagnostics & Research
WHLRL.US,NA,NA
BGNE.US,Healthcare,Biotechnology
TCFC.US,Financial Services,Banks—Regional
NRGV.US,Utilities,Utilities—Renewable
FULC.US,Healthcare,Biotechnology
NTB.US,Financial Services,Banks—Diversified
FNCH.US,Healthcare,Biotechnology
FIZZ.US,Consumer Defensive,Beverages—Non-Alcoholic
CEAYY.US,Industrials,Airlines
BYD.US,Consumer Cyclical,Resorts & Casinos
FOXA.US,Communication Services,Entertainment
BEAM.US,Healthcare,Biotechnology
KZIA.US,Healthcare,Biotechnology
KALV.US,Healthcare,Biotechnology
NCSM.US,Energy,Oil & Gas Equipment & Services
OPOF.US,Financial Services,Banks—Regional
MDRRP.US,Real Estate,REIT—Diversified
FATE.US,Healthcare,Biotechnology
RSI.US,Consumer Cyclical,Gambling
SEIC.US,Financial Services,Asset Management
TPIC.US,Industrials,Specialty Industrial Machinery
ALAR.US,Technology,Software—Infrastructure
MHO.US,Consumer Cyclical,Residential Construction
RLAY.US,Healthcare,Biotechnology
IBA.US,Consumer Defensive,Farm Products
PRG.US,Industrials,Rental & Leasing Services
CNNE.US,Consumer Cyclical,Restaurants
GLOG_A.US,NA,NA
RPD.US,Technology,Software—Infrastructure
DEI.US,Real Estate,REIT—Office
EDU.US,Consumer Defensive,Education & Training Services
PEB.US,Real Estate,REIT—Hotel & Motel
VRNT.US,Technology,Software—Infrastructure
ANTE.US,Communication Services,Telecom Services
MHLA.US,NA,NA
AHCO.US,Healthcare,Medical Devices
BFST.US,Financial Services,Banks—Regional
MPX.US,Consumer Cyclical,Recreational Vehicles
PCRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
AMK.US,Financial Services,Asset Management
BRCC.US,Consumer Defensive,Packaged Foods
CREG.US,Utilities,Utilities—Renewable
SWIM.US,Industrials,Building Products & Equipment
PFC.US,Financial Services,Banks—Regional
OPGN.US,Healthcare,Diagnostics & Research
USNA.US,Consumer Defensive,Packaged Foods
WLY.US,Communication Services,Publishing
SONM.US,Technology,Communication Equipment
GSL_B.US,NA,NA
BCAB.US,Healthcare,Biotechnology
DB.US,Financial Services,Banks—Regional
UTL.US,Utilities,Utilities—Diversified
ACET.US,Healthcare,Biotechnology
SREA.US,NA,NA
BCC.US,Basic Materials,Building Materials
ATNI.US,Communication Services,Telecom Services
WHR.US,Consumer Cyclical,Furnishings Fixtures & Appliances
TECK.US,Basic Materials,Other Industrial Metals & Mining
NVCR.US,Healthcare,Medical Devices
HWBK.US,Financial Services,Banks—Regional
CRS.US,Industrials,Metal Fabrication
ENOV.US,Industrials,Specialty Industrial Machinery
FFIN.US,Financial Services,Banks—Regional
WES.US,Energy,Oil & Gas Midstream
CCLDP.US,Healthcare,Health Information Services
BSIG.US,Financial Services,Asset Management
HON.US,Industrials,Conglomerates
HSC.US,Industrials,Waste Management
OPHC.US,Financial Services,Banks—Regional
BH.US,Consumer Cyclical,Restaurants
COF.US,Financial Services,Credit Services
NBTX.US,Healthcare,Biotechnology
OAIM.US,NA,NA
RMBL.US,Consumer Cyclical,Auto & Truck Dealerships
TPH.US,Consumer Cyclical,Residential Construction
CGA.US,Basic Materials,Agricultural Inputs
CHDN.US,Consumer Cyclical,Gambling
CELH.US,Consumer Defensive,Beverages—Non-Alcoholic
CTRE.US,Real Estate,REIT—Healthcare Facilities
CIGI.US,Real Estate,Real Estate Services
CMCO.US,Industrials,Farm & Heavy Construction Machinery
RUM.US,Technology,Software—Application
GRAY.US,Healthcare,Biotechnology
DTEA.US,Consumer Defensive,Packaged Foods
PRVB.US,Healthcare,Biotechnology
BXC.US,Industrials,Industrial Distribution
GOLF.US,Consumer Cyclical,Leisure
IIPR.US,Real Estate,REIT—Industrial
OHI.US,Real Estate,REIT—Healthcare Facilities
RTX.US,Industrials,Aerospace & Defense
KRYS.US,Healthcare,Biotechnology
GLPI.US,Real Estate,REIT—Specialty
LTRY.US,Consumer Cyclical,Gambling
FUNC.US,Financial Services,Banks—Regional
KTRA.US,Healthcare,Biotechnology
IVR.US,Real Estate,REIT—Mortgage
SBH.US,Consumer Cyclical,Specialty Retail
CLH.US,Industrials,Waste Management
CODI_B.US,NA,NA
BBU.US,Industrials,Conglomerates
COLM.US,Consumer Cyclical,Apparel Manufacturing
EHC.US,Healthcare,Medical Care Facilities
APM.US,Healthcare,Biotechnology
TXRH.US,Consumer Cyclical,Restaurants
SURF.US,Healthcare,Biotechnology
BIOR.US,Healthcare,Biotechnology
GFS.US,Technology,Semiconductors
PASG.US,Healthcare,Biotechnology
RM.US,Financial Services,Credit Services
GNTY.US,Financial Services,Banks—Regional
TREX.US,Industrials,Building Products & Equipment
LCFY.US,Communication Services,Internet Content & Information
INM.US,Healthcare,Biotechnology
DHCNL.US,NA,NA
LAZY.US,Consumer Cyclical,Auto & Truck Dealerships
TSCO.US,Consumer Cyclical,Specialty Retail
TUYA.US,Technology,Software—Infrastructure
TWOU.US,Consumer Defensive,Education & Training Services
PUBM.US,Technology,Software—Application
SUP.US,Consumer Cyclical,Auto Parts
CDAY.US,Technology,Software—Application
ALGS.US,Healthcare,Biotechnology
ACLX.US,Healthcare,Biotechnology
QUIK.US,Technology,Semiconductors
CVGW.US,Consumer Defensive,Food Distribution
LOW.US,Consumer Cyclical,Home Improvement Retail
HOVNP.US,NA,NA
ARGX.US,Healthcare,Biotechnology
GETY.US,Communication Services,Internet Content & Information
SANM.US,Technology,Electronic Components
SEAS.US,Consumer Cyclical,Leisure
FTK.US,Energy,Oil & Gas Equipment & Services
KIRK.US,Consumer Cyclical,Specialty Retail
PXSAP.US,Industrials,Marine Shipping
TPG.US,Financial Services,Asset Management
ROOT.US,Financial Services,Insurance—Property & Casualty
BTI.US,Consumer Defensive,Tobacco
DOCS.US,Healthcare,Health Information Services
PLTR.US,Technology,Software—Infrastructure
VSAT.US,Technology,Communication Equipment
AVRO.US,Healthcare,Biotechnology
EAR.US,Healthcare,Medical Devices
QNRX.US,Healthcare,Biotechnology
PRCH.US,Technology,Software—Application
DAL.US,Industrials,Airlines
PKE.US,Industrials,Aerospace & Defense
CEN.US,Financial Services,Asset Management
OAK_A.US,NA,NA
PFSI.US,Financial Services,Mortgage Finance
WIMI.US,Communication Services,Advertising Agencies
REX.US,Basic Materials,Specialty Chemicals
TPL.US,Energy,Oil & Gas E&P
VJET.US,Technology,Computer Hardware
MAC.US,Real Estate,REIT—Retail
CLVT.US,Technology,Information Technology Services
WSO.US,Industrials,Industrial Distribution
HTBI.US,Financial Services,Banks—Regional
NEXI.US,Healthcare,Biotechnology
SLF.US,Financial Services,Insurance—Diversified
NEO.US,Healthcare,Diagnostics & Research
LNT.US,Utilities,Utilities—Regulated Electric
WBX.US,Technology,Electronic Components
CNCE.US,Healthcare,Biotechnology
YGMZ.US,Industrials,Trucking
CFRX.US,Healthcare,Biotechnology
CHGG.US,Consumer Defensive,Education & Training Services
CTRN.US,Consumer Cyclical,Apparel Retail
MATX.US,Industrials,Marine Shipping
PRLB.US,Industrials,Metal Fabrication
AON.US,Financial Services,Insurance Brokers
PRS.US,NA,NA
NHI.US,Real Estate,REIT—Healthcare Facilities
RCEL.US,Healthcare,Medical Devices
ZENV.US,Technology,Software—Infrastructure
THR.US,Industrials,Specialty Industrial Machinery
IVZ.US,Financial Services,Asset Management
FBIN.US,Industrials,Building Products & Equipment
OVLY.US,Financial Services,Banks—Regional
ALL_G.US,NA,NA
MMI.US,Real Estate,Real Estate Services
ESTC.US,Technology,Software—Application
MORF.US,Healthcare,Biotechnology
PROF.US,Healthcare,Medical Devices
PTCT.US,Healthcare,Biotechnology
BDX.US,Healthcare,Medical Instruments & Supplies
NDAQ.US,Financial Services,Financial Data & Stock Exchanges
DSHKO.US,Consumer Cyclical,Leisure
RGC.US,Healthcare,Drug Manufacturers—Specialty & Generic
SRE.US,Utilities,Utilities—Diversified
TTWO.US,Communication Services,Electronic Gaming & Multimedia
CBU.US,Financial Services,Banks—Regional
CRK.US,Energy,Oil & Gas E&P
HBCP.US,Financial Services,Banks—Regional
EXPD.US,Industrials,Integrated Freight & Logistics
LVLU.US,Consumer Cyclical,Apparel Retail
CALB.US,Financial Services,Banks—Regional
CMCT.US,Real Estate,REIT—Office
NISN.US,Financial Services,Credit Services
INSI.US,Financial Services,Asset Management
ODP.US,Consumer Cyclical,Specialty Retail
WIX.US,Technology,Software—Infrastructure
LIZI.US,Communication Services,Internet Content & Information
WSO-B.US,Industrials,Industrial Distribution
APTV.US,Consumer Cyclical,Auto Parts
ARE.US,Real Estate,REIT—Office
BAX.US,Healthcare,Medical Instruments & Supplies
CLSD.US,Healthcare,Biotechnology
JAKK.US,Consumer Cyclical,Leisure
ABC.US,Healthcare,Medical Distribution
SMBC.US,Financial Services,Banks—Regional
EPIX.US,Healthcare,Biotechnology
PZZA.US,Consumer Cyclical,Restaurants
FUBO.US,Communication Services,Broadcasting
NLY_G.US,NA,NA
OCUP.US,Healthcare,Biotechnology
CGRN.US,Industrials,Specialty Industrial Machinery
CENTA.US,Consumer Defensive,Packaged Foods
CRIS.US,Healthcare,Biotechnology
BFH.US,Financial Services,Credit Services
PULM.US,Healthcare,Biotechnology
VSH.US,Technology,Semiconductors
DLTH.US,Consumer Cyclical,Apparel Retail
BHE.US,Technology,Electronic Components
ALHC.US,Healthcare,Healthcare Plans
IVR_B.US,NA,NA
QH.US,Technology,Software—Application
ABCM.US,Healthcare,Biotechnology
ALOT.US,Technology,Computer Hardware
PDSB.US,Healthcare,Biotechnology
ESTA.US,Healthcare,Medical Devices
SPKY.US,NA,NA
PLCE.US,Consumer Cyclical,Apparel Retail
GTBP.US,Healthcare,Biotechnology
K.US,Consumer Defensive,Packaged Foods
SPPI.US,Healthcare,Biotechnology
BEDU.US,Consumer Defensive,Education & Training Services
FLGT.US,Healthcare,Diagnostics & Research
VRNA.US,Healthcare,Biotechnology
KPRX.US,Healthcare,Biotechnology
CP.US,Industrials,Railroads
HIPO.US,Financial Services,Insurance—Specialty
CWEN-A.US,Utilities,Utilities—Renewable
GT.US,Consumer Cyclical,Auto Parts
GP.US,Consumer Cyclical,Auto Manufacturers
MARK.US,Technology,Software—Infrastructure
SEED.US,Basic Materials,Agricultural Inputs
OMGA.US,Healthcare,Biotechnology
WMB.US,Energy,Oil & Gas Midstream
CTAS.US,Industrials,Specialty Business Services
INO.US,Healthcare,Biotechnology
SJM.US,Consumer Defensive,Packaged Foods
MKL.US,Financial Services,Insurance—Property & Casualty
ALGM.US,Technology,Semiconductors
DKL.US,Energy,Oil & Gas Refining & Marketing
AAPU.US,NA,NA
VECO.US,Technology,Semiconductor Equipment & Materials
AQMS.US,Industrials,Waste Management
PPBI.US,Financial Services,Banks—Regional
TOUR.US,Consumer Cyclical,Travel Services
SPTN.US,Consumer Defensive,Food Distribution
CTSH.US,Technology,Information Technology Services
MRSN.US,Healthcare,Biotechnology
BHC.US,Healthcare,Drug Manufacturers—Specialty & Generic
SIGI.US,Financial Services,Insurance—Property & Casualty
CHH.US,Consumer Cyclical,Lodging
TRUP.US,Financial Services,Insurance—Specialty
HAIN.US,Consumer Defensive,Packaged Foods
BATRA.US,Communication Services,Entertainment
ARNC.US,Industrials,Metal Fabrication
DCP_B.US,NA,NA
NVIV.US,Healthcare,Biotechnology
IFRX.US,Healthcare,Biotechnology
PLRX.US,Healthcare,Biotechnology
RRC.US,Energy,Oil & Gas E&P
SRDX.US,Healthcare,Medical Devices
VBTX.US,Financial Services,Banks—Regional
IMMP.US,Healthcare,Biotechnology
LFUS.US,Technology,Electronic Components
STAR_G.US,NA,NA
SLN.US,Healthcare,Biotechnology
SAR.US,Financial Services,Asset Management
UNM.US,Financial Services,Insurance—Life
IBKR.US,Financial Services,Capital Markets
BST.US,Financial Services,Asset Management
NURO.US,Healthcare,Medical Devices
NVST.US,Healthcare,Medical Instruments & Supplies
LASR.US,Technology,Semiconductors
BECN.US,Industrials,Building Products & Equipment
ALKS.US,Healthcare,Drug Manufacturers—Specialty & Generic
NBHC.US,Financial Services,Banks—Regional
OLK.US,Healthcare,Diagnostics & Research
GAN.US,Consumer Cyclical,Gambling
ESGRO.US,Financial Services,Insurance—Diversified
MSGM.US,Communication Services,Electronic Gaming & Multimedia
BKKT-WS.US,Technology,Software—Infrastructure
GWW.US,Industrials,Industrial Distribution
NRT.US,Energy,Oil & Gas E&P
PRVA.US,Healthcare,Health Information Services
RWLK.US,Healthcare,Medical Devices
EOLS.US,Healthcare,Drug Manufacturers—Specialty & Generic
LGF-A.US,NA,NA
TRNO.US,Real Estate,REIT—Industrial
GMBL.US,Consumer Cyclical,Gambling
FISV.US,Technology,Information Technology Services
FORA.US,Healthcare,Health Information Services
CEIX.US,Energy,Thermal Coal
EBAY.US,Consumer Cyclical,Internet Retail
CWBR.US,Healthcare,Biotechnology
LYFT.US,Technology,Software—Application
TIGO.US,Communication Services,Telecom Services
AVPT.US,Technology,Software—Infrastructure
LPX.US,Industrials,Building Products & Equipment
ABCB.US,Financial Services,Banks—Regional
BFS_E.US,NA,NA
CHSCN.US,Consumer Defensive,Farm Products
PNRG.US,Energy,Oil & Gas E&P
APD.US,Basic Materials,Specialty Chemicals
CVBF.US,Financial Services,Banks—Regional
FLJ.US,Real Estate,Real Estate Services
SCVL.US,Consumer Cyclical,Apparel Retail
LAZ.US,Financial Services,Capital Markets
CAC.US,Financial Services,Banks—Regional
RARE.US,Healthcare,Biotechnology
PEB_F.US,NA,NA
TCMD.US,Healthcare,Medical Devices
AVYA.US,NA,NA
RLYB.US,Healthcare,Biotechnology
PAGS.US,Technology,Software—Infrastructure
PG.US,Consumer Defensive,Household & Personal Products
XBIT.US,Healthcare,Biotechnology
FGBI.US,Financial Services,Banks—Regional
MCK.US,Healthcare,Medical Distribution
TXN.US,Technology,Semiconductors
NAAS.US,Consumer Cyclical,Specialty Retail
RH.US,Consumer Cyclical,Specialty Retail
ATLX.US,Basic Materials,Other Precious Metals & Mining
NVRO.US,Healthcare,Medical Devices
GGG.US,Industrials,Specialty Industrial Machinery
LUNR.US,Industrials,Aerospace & Defense
BCYC.US,Healthcare,Biotechnology
COSM.US,Healthcare,Drug Manufacturers—Specialty & Generic
CONL.US,NA,NA
RILYL.US,Financial Services,Financial Conglomerates
BIOL.US,Healthcare,Medical Devices
BMEA.US,Healthcare,Biotechnology
DTIL.US,Healthcare,Biotechnology
PGTI.US,Industrials,Building Products & Equipment
BDSX.US,Healthcare,Diagnostics & Research
DLO.US,Technology,Software—Infrastructure
HTLF.US,Financial Services,Banks—Regional
VRSK.US,Industrials,Consulting Services
INFA.US,Technology,Software—Infrastructure
IRNT.US,Technology,Software—Infrastructure
CVAC.US,Healthcare,Biotechnology
BLNK.US,Industrials,Engineering & Construction
ANGH.US,Communication Services,Entertainment
MDIA.US,Communication Services,Broadcasting
PALI.US,Healthcare,Biotechnology
TKNO.US,Healthcare,Drug Manufacturers—Specialty & Generic
OMAB.US,Industrials,Airports & Air Services
DWACW.US,Financial Services,Shell Companies
SCSC.US,Technology,Electronics & Computer Distribution
BIVI.US,Healthcare,Biotechnology
IAC.US,Communication Services,Internet Content & Information
VIR.US,Healthcare,Biotechnology
PEGY.US,Technology,Solar
CRWD.US,Technology,Software—Infrastructure
CRI.US,Consumer Cyclical,Apparel Retail
SBGI.US,Communication Services,Entertainment
TRVG.US,Communication Services,Internet Content & Information
CHMI_A.US,NA,NA
WTFCM.US,Financial Services,Banks—Regional
SITC_A.US,NA,NA
HRI.US,Industrials,Rental & Leasing Services
SWEB.US,NA,NA
WGO.US,Consumer Cyclical,Recreational Vehicles
LFVN.US,Consumer Defensive,Packaged Foods
OFLX.US,Industrials,Specialty Industrial Machinery
FREY.US,Industrials,Electrical Equipment & Parts
WETG.US,Technology,Software—Application
KEY_J.US,NA,NA
HAYW.US,Industrials,Electrical Equipment & Parts
SLVM.US,Basic Materials,Paper & Paper Products
