,Unnamed: 0,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,sector,industry
1893,1893,A.US,D,20070608,0,24.2341,24.3955,23.9959,24.3825,4088916.5739382,0,Healthcare,Diagnostics & Research
1894,1894,A.US,D,20070611,0,24.2869,24.6337,24.1344,24.4991,2316139.7029374,0,Healthcare,Diagnostics & Research
1895,1895,A.US,D,20070612,0,24.3257,24.5729,24.1015,24.3467,3321748.0440714,0,Healthcare,Diagnostics & Research
1896,1896,A.US,D,20070613,0,24.5669,24.9914,24.5051,24.9914,3085394.519688,0,Healthcare,Diagnostics & Research
1897,1897,A.US,D,20070614,0,24.9267,25.3223,24.9207,25.2395,2433242.7147848,0,Healthcare,Diagnostics & Research
1898,1898,A.US,D,20070615,0,25.3223,25.3342,24.9445,25.1549,4313036.3689318,0,Healthcare,Diagnostics & Research
1899,1899,A.US,D,20070618,0,25.2067,25.4847,25.1619,25.2725,3184703.38097,0,Healthcare,Diagnostics & Research
1900,1900,A.US,D,20070619,0,25.2147,25.6252,25.2067,25.5385,2539486.799085,0,Healthcare,Diagnostics & Research
1901,1901,A.US,D,20070620,0,25.5385,25.5983,25.0901,25.1677,2981870.9374282,0,Healthcare,Diagnostics & Research
1902,1902,A.US,D,20070621,0,25.1677,25.4449,24.9077,25.4249,2696845.4137935,0,Healthcare,Diagnostics & Research
1903,1903,A.US,D,20070622,0,25.2873,25.3601,24.7074,25.1099,3908979.0968497,0,Healthcare,Diagnostics & Research
1904,1904,A.US,D,20070625,0,25.1179,25.3342,24.7583,24.9983,3804764.0996487,0,Healthcare,Diagnostics & Research
1905,1905,A.US,D,20070626,0,25.0721,25.1349,24.6945,24.9445,2541296.1185903,0,Healthcare,Diagnostics & Research
1906,1906,A.US,D,20070627,0,24.8061,25.0521,24.6466,25.0053,2533025.2304243,0,Healthcare,Diagnostics & Research
1907,1907,A.US,D,20070628,0,25.0123,25.2325,24.7203,24.9983,2939852.1762916,0,Healthcare,Diagnostics & Research
1908,1908,A.US,D,20070629,0,25.1229,25.3223,24.7791,24.9715,2878435.6636081,0,Healthcare,Diagnostics & Research
1909,1909,A.US,D,20070702,0,25.1409,25.5185,24.9785,25.4647,2797013.2753509,0,Healthcare,Diagnostics & Research
1910,1910,A.US,D,20070703,0,25.4647,25.8414,25.3411,25.7757,2446363.54259,0,Healthcare,Diagnostics & Research
1911,1911,A.US,D,20070705,0,25.9082,25.9082,25.4179,25.7079,3906067.9288602,0,Healthcare,Diagnostics & Research
1912,1912,A.US,D,20070706,0,25.6591,25.9211,25.5455,25.8683,3232164.1496927,0,Healthcare,Diagnostics & Research
1913,1913,A.US,D,20070709,0,25.7259,25.9749,25.7259,25.9082,2717275.7719799,0,Healthcare,Diagnostics & Research
1914,1914,A.US,D,20070710,0,25.9022,25.9411,25.6651,25.7896,3371311.1557579,0,Healthcare,Diagnostics & Research
1915,1915,A.US,D,20070711,0,25.6651,25.9211,25.6651,25.9151,2795006.2653616,0,Healthcare,Diagnostics & Research
1916,1916,A.US,D,20070712,0,25.9211,26.246,25.8215,26.246,4319496.9340874,0,Healthcare,Diagnostics & Research
1917,1917,A.US,D,20070713,0,26.1065,26.1344,25.9211,25.962,4009335.6173462,0,Healthcare,Diagnostics & Research
1918,1918,A.US,D,20070716,0,25.8075,25.9889,25.7956,25.8823,2177280.7028054,0,Healthcare,Diagnostics & Research
1919,1919,A.US,D,20070717,0,25.6899,25.9211,25.6391,25.8544,4183741.774904,0,Healthcare,Diagnostics & Research
1920,1920,A.US,D,20070718,0,25.5933,25.8145,25.4449,25.7378,3151041.8094289,0,Healthcare,Diagnostics & Research
1921,1921,A.US,D,20070719,0,25.8484,26.0238,25.7308,25.9082,3130102.6742103,0,Healthcare,Diagnostics & Research
1922,1922,A.US,D,20070720,0,25.9082,25.9082,25.5803,25.5863,3484603.8591407,0,Healthcare,Diagnostics & Research
1923,1923,A.US,D,20070723,0,25.9889,26.1623,25.5863,25.8753,3828997.7417649,0,Healthcare,Diagnostics & Research
1924,1924,A.US,D,20070724,0,25.9889,26.258,25.3681,25.4577,3210540.6240676,0,Healthcare,Diagnostics & Research
1925,1925,A.US,D,20070725,0,25.8544,25.8544,25.1747,25.4319,3323083.7092194,0,Healthcare,Diagnostics & Research
1926,1926,A.US,D,20070726,0,25.5983,25.5983,24.6127,24.9715,5694728.2769166,0,Healthcare,Diagnostics & Research
1927,1927,A.US,D,20070727,0,24.8509,25.0721,24.4503,24.4503,4954447.659877,0,Healthcare,Diagnostics & Research
1928,1928,A.US,D,20070730,0,24.3467,24.7721,24.2081,24.7453,4271782.278601,0,Healthcare,Diagnostics & Research
1929,1929,A.US,D,20070731,0,24.8509,25.1031,24.6197,24.7861,5251835.361541,0,Healthcare,Diagnostics & Research
1930,1930,A.US,D,20070801,0,24.7203,25.1997,24.5669,24.7931,7959515.6187619,0,Healthcare,Diagnostics & Research
1931,1931,A.US,D,20070802,0,25.3223,25.3342,24.7143,25.0901,4308568.7646955,0,Healthcare,Diagnostics & Research
1932,1932,A.US,D,20070803,0,25.1409,25.2545,24.6735,24.6735,5826445.3320013,0,Healthcare,Diagnostics & Research
1933,1933,A.US,D,20070806,0,24.8569,24.8887,24.4134,24.8887,4162341.0273878,0,Healthcare,Diagnostics & Research
1934,1934,A.US,D,20070807,0,24.5539,25.1349,24.5241,24.8837,4552083.3007209,0,Healthcare,Diagnostics & Research
1935,1935,A.US,D,20070808,0,24.8837,25.1031,24.6407,24.9983,4816375.407661,0,Healthcare,Diagnostics & Research
1936,1936,A.US,D,20070809,0,25.2725,25.5803,23.113,23.3143,8202003.5691778,0,Healthcare,Diagnostics & Research
1937,1937,A.US,D,20070810,0,23.7786,23.7786,22.9216,23.2246,5312484.1929036,0,Healthcare,Diagnostics & Research
1938,1938,A.US,D,20070813,0,23.39,24.0945,23.39,23.6023,5016943.9439347,0,Healthcare,Diagnostics & Research
1939,1939,A.US,D,20070814,0,23.2555,24.1015,23.2555,23.6023,4483742.6035742,0,Healthcare,Diagnostics & Research
1940,1940,A.US,D,20070815,0,20.4264,21.4847,20.2371,21.0443,12154846.872849,0,Healthcare,Diagnostics & Research
1941,1941,A.US,D,20070816,0,20.9835,21.4249,20.6457,21.2107,10452413.694965,0,Healthcare,Diagnostics & Research
1942,1942,A.US,D,20070817,0,21.3402,22.7373,21.2047,21.976,8374704.7717497,0,Healthcare,Diagnostics & Research
1943,1943,A.US,D,20070820,0,21.9072,22.0168,21.5046,21.8285,5458254.3319337,0,Healthcare,Diagnostics & Research
1944,1944,A.US,D,20070821,0,21.7637,22.1145,21.6651,22.0507,3341293.3108525,0,Healthcare,Diagnostics & Research
1945,1945,A.US,D,20070822,0,22.1683,22.4064,22.0098,22.3327,3117945.2111998,0,Healthcare,Diagnostics & Research
1946,1946,A.US,D,20070823,0,22.4134,22.6217,22.1802,22.5081,3293882.7173796,0,Healthcare,Diagnostics & Research
1947,1947,A.US,D,20070824,0,22.538,22.9098,22.4274,22.8688,2555497.7212749,0,Healthcare,Diagnostics & Research
1948,1948,A.US,D,20070827,0,22.815,22.9616,22.6506,22.828,2745121.0285719,0,Healthcare,Diagnostics & Research
1949,1949,A.US,D,20070828,0,22.7054,22.8828,22.4802,22.528,4740954.9827769,0,Healthcare,Diagnostics & Research
1950,1950,A.US,D,20070829,0,22.7254,23.1389,22.6914,23.1389,2907526.2698984,0,Healthcare,Diagnostics & Research
1951,1951,A.US,D,20070830,0,23.0492,23.4837,22.8828,23.2744,2744208.8425317,0,Healthcare,Diagnostics & Research
1952,1952,A.US,D,20070831,0,23.5834,23.7398,23.4348,23.6481,3486292.7580467,0,Healthcare,Diagnostics & Research
1953,1953,A.US,D,20070904,0,23.7727,23.8295,23.396,23.689,2439278.7973277,0,Healthcare,Diagnostics & Research
1954,1954,A.US,D,20070905,0,23.4608,23.5166,23.2954,23.4906,3211685.6232666,0,Healthcare,Diagnostics & Research
1955,1955,A.US,D,20070906,0,23.396,23.7657,23.2814,23.7657,1907922.9026524,0,Healthcare,Diagnostics & Research
1956,1956,A.US,D,20070907,0,23.4458,23.689,23.4219,23.5694,3147499.4367978,0,Healthcare,Diagnostics & Research
1957,1957,A.US,D,20070910,0,23.669,23.7159,23.2306,23.4528,3089473.7674912,0,Healthcare,Diagnostics & Research
1958,1958,A.US,D,20070911,0,23.5166,23.7159,23.402,23.5893,3363614.2724489,0,Healthcare,Diagnostics & Research
1959,1959,A.US,D,20070912,0,23.4718,23.7159,23.383,23.5764,2782848.8023513,0,Healthcare,Diagnostics & Research
1960,1960,A.US,D,20070913,0,23.669,23.7159,23.5305,23.6072,2102952.0913556,0,Healthcare,Diagnostics & Research
1961,1961,A.US,D,20070914,0,23.5375,23.7727,23.3691,23.4906,2691261.9120031,0,Healthcare,Diagnostics & Research
1962,1962,A.US,D,20070917,0,23.375,23.5504,23.2366,23.409,1536808.6925353,0,Healthcare,Diagnostics & Research
1963,1963,A.US,D,20070918,0,23.4777,24.2998,23.4777,24.1693,3031126.9765865,0,Healthcare,Diagnostics & Research
1964,1964,A.US,D,20070919,0,24.2012,24.3825,24.0676,24.2081,3538627.5505285,0,Healthcare,Diagnostics & Research
1965,1965,A.US,D,20070920,0,24.1085,24.2081,23.9441,24.0477,2386025.7977758,0,Healthcare,Diagnostics & Research
1966,1966,A.US,D,20070921,0,24.1155,24.2998,23.7836,23.978,4881330.2789557,0,Healthcare,Diagnostics & Research
